Sujet,Urgence,Synthèse
Demande de support : problème de synchronisation des contacts Outlook,Modérée,"Ticket concernant: Demande de support : problème de synchronisation des contacts Outlook. Bonjour, je rencontre un souci avec Outlook : les contacts que je crée
sur mon téléphone ne se sync..."
Arrêt du serveur de production : intervention urgente requise,Critique,"Ticket concernant: Arrêt du serveur de production : intervention urgente requise. Bonjour, le serveur de production 'srv-prod-01' est hors ligne depuis
2h30. Les applications critiq..."
Panne du serveur principal,Critique,"Ticket concernant: Panne du serveur principal. Bonjour, nous venons de détecter une panne du serveur principal qui
héberge nos données critiques. ..."
Problème technique avec le serveur de messagerie,Élevée,"Ticket concernant: Problème technique avec le serveur de messagerie. Bonjour, nous rencontrons actuellement des difficultés avec notre
serveur de messagerie. De nombreu..."
Panne du serveur de messagerie interne,Modérée,"Ticket concernant: Panne du serveur de messagerie interne. Bonjour,

Depuis hier soir, aucun utilisateur ne reçoit de mails internes. Les
boîtes de réceptio..."
Panne du serveur principal,Critique,"Ticket concernant: Panne du serveur principal. Bonjour, le serveur principal de l'entreprise est actuellement hors
service, ce qui entraîne une in..."
Panne du serveur de production,Critique,"Ticket concernant: Panne du serveur de production. URGENT : Panne du serveur de production. Le serveur principal de notre
application e-commerce (IP 1..."
Panne majeure du serveur principal,Critique,"Ticket concernant: Panne majeure du serveur principal. URGENT - Le serveur principal est actuellement hors service, ce qui
affecte toutes les opérations d..."
Problème de connexion au système de gestion de projet,Critique,"Ticket concernant: Problème de connexion au système de gestion de projet. Bonjour, j'ai un problème urgent avec la connexion au système de
gestion de projet. Plusieurs membr..."
Serveur de fichiers indisponible,Critique,"Ticket concernant: Serveur de fichiers indisponible. Bonjour,

Le serveur de fichiers partagé (srv-files) est hors ligne depuis 3h.
Aucun utilisateur ..."
Panne serveur de production – arrêt complet,Critique,"Ticket concernant: Panne serveur de production – arrêt complet. Urgent : Le serveur de production hébergeant notre plateforme
e-commerce est hors service depuis 2h..."
Panne du serveur principal,Critique,"Ticket concernant: Panne du serveur principal. Bonjour, nous sommes actuellement confrontés à une situation critique.
Le serveur principal de l'en..."
Problème de mise en page sur le rapport annuel,Modérée,"Ticket concernant: Problème de mise en page sur le rapport annuel. Bonjour,

Lors de l'impression du rapport annuel 2023, la mise en page du
chapitre 4 est décalée,..."
Panne du serveur de messagerie interne,Critique,"Ticket concernant: Panne du serveur de messagerie interne. URGENT : Le serveur de messagerie interne est hors service depuis
2h30. Aucun e-mail ne passe, et l..."
Panne du serveur de messagerie interne,Élevée,"Ticket concernant: Panne du serveur de messagerie interne. Bonjour,\n\nLe serveur de messagerie interne (mail.office.local) est
hors service depuis 14h30. Auc..."
Panne du serveur principal de l'entreprise,Critique,"Ticket concernant: Panne du serveur principal de l'entreprise. Bonjour, le serveur principal de l'entreprise est actuellement hors
service, ce qui entraîne une in..."
Panne du système de gestion de production,Élevée,"Ticket concernant: Panne du système de gestion de production. Bonjour, nous avons une urgence majeure. Le système de gestion de
production est actuellement hors ..."
Panne du serveur de messagerie interne,Élevée,"Ticket concernant: Panne du serveur de messagerie interne. Bonjour,

Le serveur de messagerie interne est hors service depuis 14h. Aucun
e-mail ne passe, ce..."
Incident critique : perte de données sur le serveur de sauvegarde,Critique,"Ticket concernant: Incident critique : perte de données sur le serveur de sauvegarde. Bonjour,

Nous avons constaté une perte de données sur le serveur de sauvegarde
après la mise à j..."
Arrêt du serveur de production - impact sur plusieurs services,Critique,"Ticket concernant: Arrêt du serveur de production - impact sur plusieurs services. Bonjour,

Le serveur de production (srv-prod-01) est hors ligne depuis 14h30.
Les équipes de fact..."
Panne du serveur de messagerie interne,Critique,"Ticket concernant: Panne du serveur de messagerie interne. URGENT : Le serveur de messagerie interne est hors service depuis
3h30. Aucun e‑mail n’est envoyé n..."
Incident critique : perte de données sur le serveur de sauvegarde,Critique,"Ticket concernant: Incident critique : perte de données sur le serveur de sauvegarde. Bonjour,

Nous avons constaté une perte de données sur le serveur de sauvegarde
(srv-backup-01) a..."
Panne du serveur de messagerie interne,Critique,"Ticket concernant: Panne du serveur de messagerie interne. Bonjour,

Le serveur de messagerie interne (mail.intranet.local) est hors
service depuis 14h. Auc..."
Panne du serveur principal,Critique,"Ticket concernant: Panne du serveur principal. Bonjour, nous avons une situation critique : le serveur principal de
l'entreprise est actuellement ..."
Retard dans la réception des emails du service X,Modérée,"Ticket concernant: Retard dans la réception des emails du service X. Bonjour,

Depuis hier, je ne reçois plus les emails du service X, ce qui
ralentit la coordination..."
Panne du système de gestion de production,Critique,"Ticket concernant: Panne du système de gestion de production. Bonjour, nous sommes confrontés à une situation critique. Le système
de gestion de production est a..."
Interruption totale du service de messagerie pour l’ensemble du siège,Critique,"Ticket concernant: Interruption totale du service de messagerie pour l’ensemble du siège. URGENT

Le service de messagerie interne (Exchange) est complètement hors
service depuis 08:15 h...."
Application mobile ne se synchronise pas avec le serveur,Critique,"Ticket concernant: Application mobile ne se synchronise pas avec le serveur. Bonjour, l’application mobile de suivi de commandes ne se synchronise
plus avec le serveur après la..."
Panne du serveur de production - Service de facturation indisponible,Critique,"Ticket concernant: Panne du serveur de production - Service de facturation indisponible. Urgent : Le serveur de production hébergeant le service de facturation
est hors ligne depuis 2h30. ..."
Demande de fournitures de bureau,Modérée,"Ticket concernant: Demande de fournitures de bureau. Bonjour,

Je souhaiterais commander 10 cartouches d’encre pour l’imprimante du
bureau de la régio..."
Urgent : Perte de données sur le serveur de sauvegarde,Critique,"Ticket concernant: Urgent : Perte de données sur le serveur de sauvegarde. Bonjour, après la dernière mise à jour du système, nous avons constaté
une perte de données sur le ..."
Panne du serveur de messagerie interne,Critique,"Ticket concernant: Panne du serveur de messagerie interne. Bonjour, le serveur de messagerie interne est hors service depuis 3
heures. Aucun e-mail ne passe, ..."
Panne majeure du système de gestion de production,Élevée,"Ticket concernant: Panne majeure du système de gestion de production. Bonjour, nous venons de constater une panne majeure du système de
gestion de production. La product..."
Panne du système de gestion des commandes,Élevée,"Ticket concernant: Panne du système de gestion des commandes. Bonjour, notre système de gestion des commandes est actuellement hors
service, ce qui bloque toutes..."
Problème technique informatique : serveur de messagerie indisponible,Critique,"Ticket concernant: Problème technique informatique : serveur de messagerie indisponible. Bonjour,
Depuis ce matin, le serveur de messagerie interne est hors service.
Aucun e‑mail ne passe..."
